देवनागरी	d̪eʋnɑɡɑri
घनश्याम	ɡʱ ʌ n̪ ʃ j ä m
सेवक	s e ʋ ʌ k
उलामाला	u l ä m ä l ä
बैसठ्ठी	b ä i s ʌ t̪ʰ i
सारुप्य	s ä r u p j
मोटरसाइकल	m o ʈ ʌ r s ä i k ʌ l
अन्तर्विरोध	ʌ n̪ t̪ ʌ r ʋ i r o d̪ʱ
पहुँचकुञ्जी	p ʌ ɦ ũ̯ t͡ʃ k u ɲ d͡z i
तमाखु	t̪ ʌ m ä kʰ u
कुटुम्ब	k u ʈ u m b
विखण्डन	ʋ i kʰ ʌ n̪ ɖ ʌ n
रानीे	r ä n i e
चेहरा	t͡ʃ e ɦ ʌ r ä
लोकगाथा	l o k ʌ ɡ ä t̪ʰ ä
चयनशील	t͡ʃ ʌ j ʌ n ʃ i l
गर्माउ	ɡ ʌ r m ä u
किफाएति	k i pʰ ä e t̪ i
यगण	j ʌ ɡ ʌ ɳ
बनेपा	b ʌ n e p ä
कार्यदल	k ä r j ʌ d̪ ʌ l
शौरसेन	ʃ a u r ʌ s e n
उत्प्रेक्षक	u t̪ p r e k ʃ ʌ k
बिहिबार	b i ɦ i b ä r
अच्छिन्न	ʌ t͡ʃʰ i n̪ n
सुर्क	s u r ʌ k
वाक्यगठन	ʋ ä k j ʌ ɡ ʌ t̪ʰ ʌ n
सतिसाल	s ʌ t̪ i s ä l
झङ्कारित	d͡zʱ ʌ ŋ k ä r i t̪
स्वर्ग	s ʋ ʌ r ɡ
बित्थै	b i t̪ʰ t̪ʰ ä i
रुपा	r u p ä
पुस	p u s
उच्छन्न	u t͡ʃʰ ʌ n̪ n
क्रमबद्ध	k r ʌ m b ʌ d̪ʱ
अजङ	ʌ d͡z ʌ ŋ
तत्पश्चात्	t̪ ʌ t̪ p ʌ ʃ t̪ ä t̪
अपरिणामी	ʌ p ʌ r i ɳ ä m i
लेखपढ	l e kʰ p ʌ ɖ
आलस्य	ɑːləsʌ
आङ्गारिक	ɑːŋɡɑːrik
एकगेडे	ekəɡeɖe
धानबाली	ɖʌːnəbɑːliː
ढिम्री	ɖʰimriː
चौटा	t͡ʃɔːʈɑː
यता	jətɑː
छ्याप	t͡ʃʰjɑːp
ब्वाइज	bʋɑːid͡z
अनुन्मुक्त	ənunmukt
जाम्‍बवान	jɑːmbʋɑːn
आनाकानी	ɑːnɑːkɑːniː
दुनो	duno
पार्टी	pɑːrʈiː
पुस	pus
बेकाम	beːkɑːm
आनीबानी	ɑːniːbɑːniː
धर्ता	ɖʰərtɑː
झ्याप्प	d͡ʒʰjɑːpː
विनोदकुमार	ʋinodkumɑːr
डिपोट	ɖipoʈ
गिर्खा	ɡirkʰɑː
सङ्काय	səŋkɑːj
टोप्रो	ʈopro
करकरे	kərəkəre
फुल्लाउ	phullɑːu
रुक्मिणी	rʊkmɪɳiː
पक्राउ	pəkrɑːu
अवाञ्छनीय	əʋɑːɲt͡ʃʰəniːj
निपर्सि	nipərsi
उत्तरदाता	ʊttərdɑːtɑː
अठहत्तर	əʈʰəʈʰər
मुख्यालय	mʊkʰjɑːləj
रुझ्	rʊd͡ʒʰ
लेस्	leːs
चयनशील	t͡ʃəjənʃiːl
गर्भे	ɡərbʰe
सट्क	səʈk
कण	kəɳ
कोको	koko
गूढ	ɡuːɖʰ
पक्कु	pəkːu
मटक्क	məʈkː
बेहुली	beːhuliː
भरोसा	bʰərosɑː
कुक्रुक्क	kʊkrʊkː
मरिच	mərit͡ʃ
जब	jəb
लोति	loti
फलाक्	phlɑːk

    अफलाइन	ʌ pʰ l ɑː i n
असन्तोकी	ʌ s ʌ n t̪ oː k iː
अँठ्याउ	ʌ̃ ʈʰ j ɑː u
ग्रन्थ	ɡ r ʌ n t̪ʰ
जुरे	d͡ʒ u r eː
अगणनीय	ʌ ɡ ʌ ɳ ʌ n iː j ʌ
टुप्पो	ʈ u p p oː
फुस्रो	pʰ u s r oː
बढुवा	b ʌ ɖʱ u w ʌː
हामी	ɦ ɑː m iː
धर्सो	d̪ʱ ʌ r s oː
चटक	t͡ʃ ʌ ʈ ʌ k
करेट्	k ʌ r eː ʈ
बाहुनी	b ɑː ɦ u n iː
फुटबल	pʰ u ʈ b ʌ l
महासन्धि	m ʌ ɦ ɑː s ʌ n d̪ʱ i
छलित	t͡ʃʰ ʌ l i t̪
हिनामिना	ɦ i n ɑː m i n ɑː
छन्देइलो	t͡ʃʰ ʌ n d̪ eː i l oː
जोरो	d͡ʒ oː r oː
वज्राचार्य	w ʌ d͡ʒ r ɑː t͡ʃ ɑː r j ʌ
गहत	ɡ ʌ ɦ ʌ t̪
पुरिया	p u r iː j ʌː
अतृप्ति	ʌ t̪ r ʌ p t̪ i
चैत्र	t͡ʃ ɑː i t̪ r
छुरो	t͡ʃʰ u r oː
आभ्यन्तरिक	ɑː bʱ j ʌ n t̪ ʌ r i k
सुट्ट	s u ʈ ʈ
लिगलिगे	l i ɡ ʌ l i ɡ eː
चक्राङ्कित	t͡ʃ ʌ k r ɑː ŋ k i t̪
गुठी	ɡ u ʈʰ iː
पिरपिर	p i r ʌ p i r
साहा	s ɑː ɦ ʌː
वाञ्छना	w ɑː ɲ t͡ʃʰ ʌ n ʌː
औस्या	ʌ u s j ʌː
चट्याङ्ग	t͡ʃ ʌ ʈ j ɑː ŋ ɡ
लुटि	l u ʈ i
समेट्	s ʌ m eː ʈ
हिमगिरि	ɦ i m ʌ ɡ i r i
असफलता	ʌ s ʌ pʰ ʌ l ʌ t̪ ʌː
सिप्किनु	s i p k i n u
सङ्गठन	s ʌ ŋ ɡ ʌ ʈʰ ʌ n
सपेटो	s ʌ p eː ʈ oː
चोरऔंले	t͡ʃ oː r ʌ̃ u l eː
टुकटुकती	ʈ u k ʌ ʈ u k ʌ t̪ iː
कलङ्की	k ʌ l ʌ ŋ k iː
कुहिरे	k u ɦ i r eː
पाडी	p ɑː ɖ iː
असहन	ʌ s ʌ ɦ ʌ n
पृष्ठसाइज	p r ʌ ʂ ʈʰ s ɑː i d͡ʒ
ढक	ɖʱʌk
शहर	ʃʌɦʌr
कुरूप	kʊrʊp
ट्रस्ट	ʈrʌsʈ
जफत	ʤʌfʌt
बुर्की	bʊrkɪ
वाच्य	vɑːt͡ʃjʌ
निमित्त	nɪmɪtː
भावक	bʱɑːvʌk
जलुवा	ʤʌlʊvɑː
कप्तान	kʌptɑːn
एकजाति	ekʌʤɑːtɪ
युगौँ	jʊɡɔ̃
बछेडा-बछेडी	bʌt͡ʃʰeɖɑː-bʌt͡ʃʰeɖɪ
अभिव्यक्ति	ʌbʱɪvʌjʌktɪ
कुन	kʊn
टठिलो	ʈʌʈʰɪlo
चमचम	t͡ʃʌmt͡ʃʌm
कब्जियत	kʌbʒɪjʌt
चन्दने	t͡ʃʌndʌne
केर्	kʌr
वर्णपट	vʌrɳʌpʌʈ
टेस्ट	ʈesʈ
पिँढी	pɪ̃ɖɪ
हामी	ɦɑːmɪ
धारणा	ɖʱɑːrʌnɑː
कथञ्चित्	kʌtʰʌɲt͡ʃɪt
मौजुदा	mɔːʤʊdʌ
सड्क	sʌɖk
झन्क	ʤʌnk
ताउलो	tɑːʊlo
विवश	vɪvʌʃ
भड्खालो	bʱʌɖkʰɑːlo
भल्भ	bʱʌlbʱ
परिपाठ	pʌrɪpɑːʈʰ
नेमकिपा	nemʌkɪpɑː
अट्टालिका	ʌʈʈɑːlɪkɑː
नागेश	nɑːɡeʃ
बाण	bɑːɳ
गुत्थि	ɡʊtʰtʰɪ
फ्रेमसेट	pʰremset
ज्यान	ʤʌɑːn
पत्रकारिता	pʌtrʌkɑːrɪtɑː
थपक्क	tʰʌpkʌk
आँक	ɑ̃k
ढिस्को	ɖʱɪsko
होमाइ	ɦomɑːɪ
वसन्तपञ्चमी	vʌsʌntʌpʌɲt͡ʃmɪ
औलो	ɔːlo
बहत्तर	bʌɦʌttʌr
विभ्रम	v i bʱ r ʌ m
उपवक्ता	u pʌ v ʌ k t̪ ä
सर्जक	s ʌ r d͡ʒ ʌ k
अत्यास	ʌ t̪ j ä s
पसल	p ʌ s ʌ l
खैँच	kʰ ʌ̃ t͡ʃ
सेलफोन	s e l ʌ pʰ o n
समर	s ʌ m ʌ r
निलुम्बा	n i l u m b ä
धनुर्धर	dʱ ʌ n u r dʱ ʌ r
चलुवा	t͡ʃ ʌ l u w ä
बर्खा	b ʌ r kʰ ä
विराजमान	v i r ä d͡ʒ m ä n
तुलजा	t̪ u l d͡ʒ ä
भुत्ला	bʱ u t̪ l ä
समादर	s ʌ m ä d ʌ r
निराश	n i r ä ʃ
गिगाबाइट	ɡ i ɡ ä b ä i t̪
सुमर्	s u m ʌ r
उमार्	u m ä r
प्रेक्षा	p r e k ʃ ä
व्याख्याता	v j ä kʰ j ä t̪ ä
विवश	v i w ʌ ʃ
रकेट	r ʌ k e t̪
मन्त्रिपरिषद	m ʌ n t̪ r i p ʌ r i ʃ ʌ d
मिल्नु	m i l n u
विपक्षी	v i p ʌ k ʃ i
कोटे	k o t̪ e
सिन्धु	s i n dʱ u
दिलाउ	d i l ä u
अवहेलन	ʌ w ʌ ɦ e l ʌ n
अश्वशक्ति	ʌ ʃ w ʌ ʃ ʌ k t̪ i
सैलुङ	s ä i l u ŋ
म्लेच्‍छ	m l e t͡ʃ ʌ
तौलसमूह	t̪ ä u l s ʌ m u ɦ
चेप्	t͡ʃ e p
कट्टरपन्थी	k ʌ t̪ t̪ ʌ r p ʌ n t̪ʰ i
फ्रेमसेट	pʰ r e m s e t̪
घुलित	ɡʱ u l i t̪
कीर्तिशाली	k i r t̪ i ʃ ä l i
बिलौनी	b i l ä u n i
अङ्खोरा	ʌ ŋ kʰ o r ä
चर्चित	t͡ʃ ʌ r t͡ʃ i t̪
थुप्रो	t̪ʰ u p r o
निमठ्	n i m ʌ t̪ʰ
छ्‌वात्त	t͡ʃʰ w ä t̪ t̪
कालु	k ä l u
टेलिभिजन	t̪ e l i bʱ i d͡ʒ ʌ n
रेग्मी	r e ɡ m i
विरही	v i r ʌ ɦ i
अश्रान्त	ʌ ʃ r ɑː n t
घोप्	ɡʱ o p
क्यारेक्टर	k j ɑː r e k t ʌ r
खेप्	kʰ e p
धर्मशास्त्र	dʱ ʌ r m ʃ ɑː s t r
क्वाइँक्वाइँ	k w ɑː ĩ k w ɑː ĩ
तदपि	t ʌ d ʌ p i
सम्प्रति	s ʌ m p r ʌ t i
सपाट	s ʌ p ɑː t
उफर्पाफर	u pʰ ʌ r p ɑː pʰ ʌ r
तार्	t ɑː r
धरौटी	dʱ ʌ r ɔː t iː
इथर	i tʰ ʌ r
राष्ट्रबैँक	r ɑː ʃ t r ʌ b æ̃ k
निदाउ	n i d ɑː u
उदाराशय	u d ɑː r ɑː ʃ ʌ j
महिष	m ʌ ɦ i ʃ
प्रेमकथा	p r e m k ʌ tʰ ɑː
असहयोग	ʌ s ʌ ɦ j o ɡ
अभागी	ʌ bʱ ɑː ɡ iː
बिलौना	b i l ɔː n ɑː
उनान्नब्बे	u n ɑː n n ʌ b b e
बालाजु	b ɑː l ɑː d͡ʒ u
विधायक	b i dʱ ɑː j ʌ k
मालश्री	m ɑː l ʃ r iː
तुलजा	t u l d͡ʒ ɑː
ह्नेदिक	ɦ n e d i k
अविकल	ʌ b i k ʌ l
सुशीला	s u ʃ iː l ɑː
गिरफ्तार	ɡ i r pʰ t ɑː r
जोरो	d͡ʒ o r o
टपरे	t ʌ p ʌ r e
मर्का	m ʌ r k ɑː
सरी	s ʌ r iː
आत्मसम्मान	ɑː t m ʌ s ʌ m m ɑː n
गुरुपाक	ɡ u r u p ɑː k
आसत्ति	ɑː s ʌ t t i
लुटि	l u t i
गुल्ट	ɡ u l t
हायहाय	ɦ ɑː j ɦ ɑː j
पातो	p ɑː t o
बैङ्कक	b æ̃ ŋ k ʌ k
लीलाम	l iː l ɑː m
रुढी	r u dʱ iː
पराल	p ʌ r ɑː l
उतर्सि	u t ʌ r s i
वरदान	b ʌ r d ɑː n
छमछमिलो	t͡ʃʰ ʌ m t͡ʃʰ ʌ m i l o
चिरस्मरणीय	t͡ʃ i r ʌ s m ʌ r ʌ n iː j
गदा	ɡ ʌ d ɑː
कम्युनिस्ट	k ʌ m j u n i s ʈ
नागार्जुन	n ɑː g ɑː r d͡ʒ u n
घोक्	ɡʱ o k
मुसल	m u s ʌ l
स्वतन्त्र	s ʋ ʌ t ʌ n t̪ r
मुख्तियार	m u kʰ t̪ i j ɑː r
आदिष्ट	ɑː d̪ i ʂ ʈ
बुरुण्डी	b u r u ɳ ɖ iː
चुक्कि	t͡ʃ u k k i
अन्तर्विकास	ʌ n t̪ ʌ r ʋ i k ɑː s
फ्यासफ्यास	pʰ j ɑː s pʰ j ɑː s
मोजा	m o d͡ʒ ɑː
कास्की	k ɑː s k iː
झुर्र	d͡ʒʱ u r r
बिलायत	b i l ɑː j ʌ t̪
परापूर्व	p ʌ r ɑː p uː r ʋ
ऐँचाताना	ɑː ĩ t͡ʃ ɑː t̪ ɑː n ɑː
खर्ल्याङखुट्टी	kʰ ʌ r l j ɑː ŋ kʰ u ʈ ʈ iː
जीवनकाल	d͡ʒ iː ʋ ʌ n k ɑː l
ओट्	o ʈ
जितुवा	d͡ʒ i t̪ u ʋ ɑː
वर्णन	ʋ ʌ r ɳ ʌ n
तुइन	t̪ u i n
कान्तिमान्	k ɑː n t̪ i m ɑː n
गेरवशाली	ɡ e r ʋ ʌ ʂ ɑː l iː
दुर्व्यवहार	d̪ u r ʋ j ʌ ʋ ʌ ɦ ɑː r
धाई	d̪ʱ ɑː i
वेदान्त	ʋ e d̪ ɑː n t̪
लखन	l ʌ kʰ ʌ n
ड्वाङङ्वाङ	ɖ ʋ ɑː ŋ ɡ ʋ ɑː ŋ
तथा	t̪ ʌ t̪ʰ ɑː
अगणित	ʌ ɡ ʌ ɳ i t̪
खोर्‍याउ	kʰ o r j ɑː u
मनिटर	m ʌ n i ʈ ʌ r
बेथे	b e t̪ʰ e
डब्बा	ɖ ʌ b b ɑː
ठिङ्ग	ʈʰ i ŋ ɡ
कीटाणुनाशक	k iː ʈ ɑː ɳ u n ɑː ʂ ʌ k
डाकिनी	ɖ ɑː k i n iː
उल्टाइ	u l ʈ ɑː i
विद्यमान	ʋ i d̪ j ʌ m ɑː n
दुर्गादास	d̪ u r ɡ ɑː d̪ ɑː s
बाती	b ɑː t̪ i
कौवाली	k ɔː ʋ ɑː l iː
खुलुल्ल	kʰ u l u l l
एकुन्टा	e k u n ʈ ɑː
पाथी	p ɑː t̪ʰ i
मेरु	m e r u
लता	l ʌ t̪ ɑː
अविलय	ʌ ʋ i l ʌ j

    प्रोत्साहन	p ɾ o t̪ s ä ɦ ʌ n
कलाबत्तु	k ʌ l ä b ʌ t̪ t̪ u
दनदन	d̪ ʌ n ʌ d̪ ʌ n
सन्ठी	s ʌ n t̪ʰ i
शहर	ʃ ʌ ɦ ʌ r
वनसाङ्लो	b ʌ n ʌ s ä ŋ l o
पुछार	p u t͡ʃʰ ä ɾ
आश्रमवासी	ä ʃ ɾ ʌ m b ä s i
बान्की	b ä n k i
आत्मपरक	ä ʈ m ʌ p ʌ r ʌ k
सुलसुल	s u l ʌ s u l
अनत	ʌ n ʌ t̪
विष्फोट	b i ʂ pʰ o ʈ
कालोनीलो	k ä l o n i l o
असहयोग	ʌ s ʌ ɦ ʌ j o ɡ
आर्जे	ä r d͡ʒ e
झर्को	d͡zʱ ʌ r k o
सिलाबर	s i l ä b ʌ r
तागत	t̪ ä ɡ ʌ t̪
हर	ɦ ʌ r
आङ्ग्ल	ä ŋ ɡ l
अभिलक्षण	ʌ b ɦ i l ʌ kʃ ʌ n
नेट	n e ʈ
ठमेल	ʈʰ ʌ m e l
निशान	n i ʃ ä n
रापि	r ä p i
कपिल	k ʌ p i l
अजनबी	ʌ d͡ʒ ʌ n ʌ b i
गृष्म	ɡ ɾ i ʃ m
ज्ञ	d͡ʒ ʌ̃
सालनाल	s ä l n ä l
बिन्	b i n
थैली	t̪ʰ ä i l i
रेल्वे	r e l b e
उचाइ	u t͡ʃʰ ä i
जर्याक्क	d͡ʒ ʌ r j ä k k
झुर्र	d͡zʱ u r r
अनेकार्थी	ʌ n e k ä r t̪ʰ i
लमिलस्ट	l ʌ m i l ʌ s ʈ
विशृङ्खलता	b i ʃ ɾ i ŋ kʰ ʌ l ʌ t̪ ä
वज्राचार्य	b ʌ d͡ʒ r ä t͡ʃʰ ä r j
डिबडिब	ɖ i b ɖ i b
टाई	ʈ ä i
धनुर्धर	d̪ʱ ʌ n u r d̪ʱ ʌ r
एकस्व	e k ʌ s b
बौलाउ	b ä u l ä u
बीबीसी	b i b i s i
राधेश्याम	r ä d̪ʱ e ʃ j ä m
बैल	b ä i l
उन्नायक	u n n ä j ʌ k
माधव	mɑːdʱʌʋ
गायब	ɡɑːjʌb
भरोसा	bʱʌrosɑː
राडार	rɑːɖɑːr
कविहृदय	kʌʋihɾidʌj
घोप्	ɡʱoʊp
भरिभन्ड	bʱʌribʱʌnɖ
एकसट्ठीऔं	ekʌsʌʈʈʰiːɔ̃
बोली	boliː
प्रभा	prʌbʱɑː
अर्थदण्ड	ʌrtʰʌɖʌnɖ
प्रेमकथा	preːmkʌtʰɑː
उकाली	ukɑːliː
झटारो	d͡ʒʰʌʈɑːro
कायदा	kɑːjʌdʌ
जैले	d͡ʒaile
वाहवाह	wɑːhwɑːh
भलभल	bʱʌlbʱʌl
वस्तुत:	ʋʌstut
अनत	ʌnʌt
तिलहरी	tɪlʌhʌriː
पहिरन	pʌhirʌn
च्यापु	t͡ʃjɑːpu
भान्से	bʱɑːnse
उछिल्ल्याहा	uʧʰɪlljɑːhɑː
दिशाकुञ्जी	dɪʃɑːkʊɲd͡ʒiː
झटाझटी	d͡ʒʰʌʈɑːd͡ʒʰʌʈiː
पेड	ped
सुल्ल	sʊll
उधुम	udʰʊm
उन्मूलन	unmuːlʌn
डिनर	ɖɪnʌr
चौबर	t͡ʃɔːbʌr
उनान्नब्बे	unɑːnnʌbbe
नस	nʌs
लहना	lʌhʌnʌ
फकिर	pʰʌkɪr
धपेड्	dʰʌped
बैगुन	baɪgʊn
कर्तृक	kʌrtɾʊk
मधौरु	mʌdʱɔːru
हिउँचितुवा	hiːũʧɪtʊʋɑː
एत्तेरी	ettʌriː
घोटाला	ɡʱoʈɑːlɑː
आशाकारी	ɑːʃɑːkɑːriː
एकतन्त्रवादी	ekʌtʌnʈrʌʋɑːdiː
उन्मत्तलिङ्गी	unmʌttʌliŋgiː
बिजाइँ	bid͡ʒɑːĩ
जम्कि	d͡ʒʌmki
मनुज	mʌnʊd͡ʒ
हात-हालाहाल	ɦaːt̪ ɦaːlaːɦaːl
धादिङ	d̪ʱaːd̪iŋ
झिँगो	d͡zʱiŋɡo
छताछुल्ल	t͡sʰʌtaːt͡sʰʊlː
कार्यदल	kaːɾjad̪al
पोखरी	poːkʰaɾiː
टकराउ	ʈʌkʌɾaːʊ
घरबारी	ɡʱʌɾbaːɾiː
गिर्खा	ɡiɾkʰaː
खान्की	kʰaːŋkiː
टेक	ʈeːk
ललकार्	lʌlʌkaːɾ
सुरेन्द्र	sʊɾeːnd̪ɾʌ
आरिस	aːɾis
सञ्चालिका	saɲt͡sʰaːlikaː
खाम	kʰaːm
मार्फत	maːɾpʰʌt̪
छोटी	t͡sʰoːʈiː
थुतुनो	t̪ʰʊt̪ʊno
गोर्खाली	ɡoːɾkʰaːliː
असभ्यपन	ʌsʌbʱjʌpʌn
पिठ्युँ	pit̪ʰju
इमानदार	iːmaːndaːɾ
सामुन्ने	saːmʊnːe
श्यार्पा	ɕjaːɾpaː
खुसहाल	kʰʊsʌɦaːl
शङ्कु	ɕaŋkʊ
अचर	ʌt͡sʌɾ
उत्कर्षी	ʊt̪kʌɾʃiː
मिजासी	mid͡zjaːsiː
बढिया	bʌɖʱijaː
सन्ठी	sʌnt̪ʰiː
प्रालेख	pɾaːleːkʰ
लेस्	leːs
मासु	maːsʊ
लोकगाथा	loːkʌɡaːt̪ʰaː
अर्गला	ʌɾɡʌlaː
किताब	kit̪aːb
वास्तुविद	ʋaːst̪ʊʋid̪
तुर्लुङ	t̪ʊɾlʊŋ
विनोदकुमार	ʋinoːd̪ʌkʊmaːɾ
उज्ज्वलित	ʊd͡zʲʋʌlit̪
ऐयासी	aijaːsiː
लिखु	likʰʊ
शतश:	ɕʌt̪ʌɕ
रचनाकार	ɾʌt͡sʌnaːkaːɾ
दुर्दशा	d̪ʊɾd̪ʌɕaː
हुम्ला	ɦʊmlaː
सुइँकुच्चा	sʊiŋkʊt͡sʰaː
सिलाबर	silaːbʌɾ
विष	v i ʂ
क्षेत्री	k ʂ e t̪ r i
वाक्यरचना	v ɑː k j ə r ə t͡ʃ ə n ɑː
खाद्यपदार्थ	kʰ ɑː d j ə p ə d ɑː r t̪ʰ
पहिलो	p ə ɦ i l o
थपड	t̪ʰ ə p ə d̪
कलजिभ्रे	k ə l ə d͡ʒ i bʱ r e
बिहिबार	b i ɦ i b ɑː r
इस्लामावाद	i s l ɑː m ɑː v ɑː d
हिमनदी	ɦ i m ə n ə d iː
नेशनल	n e ʂ ə n ə l
खुलदुली	kʰ u l ə d u l i
अर्धजीवन	ə r dʱ ə d͡ʒ iː v ə n
विश्वबैँक	v i ʂ ʋ ə b ɑː i̯ ŋ k
गिद्धे	ɡ i d̪ʱ e
बगाल	b ə ɡ ɑː l
जरुर	d͡ʒ ə r u r
बेन्च	b e n t͡ʃ
चमकदार	t͡ʃ ə m ə k ə d ɑː r
बोको	b o k o
अक्षांश	ə k ʂ ɑː ̃ ʃ
गमनीय	ɡ ə m ə n i j ə
सिक्	s i k
फगटो	pʰ ə ɡ ə t̪ o
एक्काईस	e k k ɑː iː s
पोर्तगाल	p o r t̪ ə ɡ ɑː l
छुवाछुत	t͡ʃʰ u v ɑː t͡ʃʰ u t̪
झुल्कि	d͡ʒʱ u l k i
उद्‌बोधक	u d b o d̪ʱ ə k
तर्स	t̪ ə r s
झाङ	d͡ʒʱ ɑː ŋ
लुइँलुइँ	l u i̯ ŋ l u i̯ ŋ
कुँढ्	k ũ ɖʱ
अमङ्गलकारी	ə m ə ŋ ɡ ə l ə k ɑː r i
अर्घौतो	ə r ɡʱ ɔː t̪ o
एकेक	e k e k
आम्खोरा	ɑː m kʰ o r ɑː
भक्तिमान	bʱ ə k t̪ i m ɑː n
दुवाकोट	d u v ɑː k o t̪
पद	p ə d̪
तरखर	t̪ ə r ə kʰ ə r
वेदान्त	v e d ɑː n t̪
रेलिङ	r e l i ŋ
चुकुल	t͡ʃ u k u l
बल्ड्याङ्ङ	b ə l ɖ j ɑː ŋ ŋ
मिर्गौला	m i r ɡ ɔː l ɑː
उकास्	u k ɑː s
लडाक	l ə d ɑː k
कर्कि	k ə r k i
झ्यालखाना	d͡ʒʱ j ɑː l kʰ ɑː n ɑː
हाइकु	ɦaiku
पन्याइ	pɐnjɑi
घोरल	ɡʱɔɾɐl
अवहेलन	ɐʋɐɦeːlɐn
चतुस्सूत्री	t͡ʃɐt̪ussuːt̪ɾiː
छिरबिरे	t͡ʃɪɾbɪɾe
घेरा	ɡʱeɾɐ
प्रशंसापत्र	pɾɐʃɐ̃saːpɐt̪ɾ
मोचन	mot͡ʃɐn
पेय	pej
चुक	t͡ʃʊk
अधर	ɐd̪ʱɐɾ
विश्लेषण	ʋɪʃleːʃɐ̃
खपुवा	kʰɐpuʋaː
उँधो	ũd̪ʱo
लाम्पाटो	laːmpaːʈo
मतभेद	mɐt̪bʱed̪
ग्याँचे	ɡjãt͡ʃe
मुसलमान	mʊsɐlmaːn
उफर्पाफर	upʰɐɾpaːpʰɐɾ
बुधुना	bʊd̪ʱʊnaː
चुक्लीखोर	t͡ʃʊkliːkʰoɾ
लपेटो	lɐpeʈo
मञ्च	mɐɲt͡ʃ
सगण	sɐɡɐ̃
गुणहीन	ɡʊɳɦiːn
मयूर	mɐjuːɾ
मथल्	mɐt̪ʰl
पाउरोटी	paːʊɾoʈiː
विख्याति	ʋɪkʰjaːt̪i
अट्टालिका	ɐʈʈaːlikaː
सङ्ल	sɐŋl
चर्	t͡ʃɐɾ
सड्क	sɐɖk
नक्साल	nɐksaːl
डेटाबेस	ɖeːʈaːbes
कण	kɐɳ
उपज	upɐd͡ʒ
उचित	ut͡ʃɪt̪
किलोग्राम	kɪloɡɾaːm
जीवत्‌पतिका	d͡ʒiːʋɐt̪pɐt̪ikaː
कठपाइले	kɐʈʰpaːile
कागत	kaːɡɐt̪
यता	jɐt̪aː
सद्‌गुरु	sɐd̪ɡʊɾʊ
कलहप्रिय	kɐlɐɦpɾɪj
वक्र	ʋɐkɾ
चित्रमाला	t͡ʃɪt̪ɾmaːlaː
सिनेमा	sɪneːmaː
सुकुटे	sʊkuʈe
हे	ɦe
अक्षरात्मक	ʌkʃʌrɑːtmʌk
सदासर्वदा	sʌdɑːsʌrvʌdɑː
भक्तिमान	bʱʌktimɑːn
कर्णपट	kʌrɳʌpʌʈ
सुदूरपश्चिमाञ्चल	sud̪uːrʌpʌʃt͡ʃimɑːɲt͡ʃʌl
शोक	ʃoːk
रौतहट	rɔːtʌhʌʈ
अनुष्ठित	ʌnusʈʰit
झुरुमुरु	d͡ʒʰurumuru
आकस्मिक	ɑːkʌsmik
उबार्	ubɑːr
गित	git
सतराज	sʌtʌrɑːd͡ʒ
गुत्थि	gutʰtʰi
अपुत	ʌput
बिट	bit
सिम्टा	simʈʌ
हिचकिचाउ	ɦit͡ʃkikit͡ʃɑːu
छेदी	t͡ʃʰed̪i
चासोपर्दो	t͡ʃɑːsopʌrd̪o
थेग्	tʰeg
काँइयो	kɑːɲijo
बनारस	bʌnɑːrʌs
लपेटो	lʌpet̪o
आयुक्त	ɑːjukt
लक्ष	lʌkʃ
आधुनिक	ɑːd̪ʰunik
डुम्री	ɖumriː
पञ्चायत	pʌɲt͡ʃɑːjʌt
सत्कर्म	sʌtkʌrm
सराप्	sʌrɑːp
दङ्गा	d̪ʌŋgɑː
लडाक	lʌɖɑːk
छताछुल्ल	t͡ʃʰʌt̪ɑːt͡ʃʰull
दन्को	d̪ʌnko
लेखापरीक्षण	lekʰɑːpʌriːkʃʌn
गँगरि	gɑːŋgʌri
द्रब्यशाह	d̪rʌbjʌʃɑːɦ
कुस्ती	kustiː
अङ्गीकृत	ʌŋgikrit
अविदित	ʌvid̪it
खपटि	kʰʌpʌʈi
अपुङ्गी	ʌpuŋgi
भवन	bʱʌvʌn
अनुत्पादक	ʌnut̪pɑːd̪ʌk
खैराँत	kʰirɑːnt
बबरमहल	bʌbʌrmʌɦʌl
राह	rɑːɦ
बोरा	borɑː
द्वित्व	d̪ʋit̪ʋ
अक्वेरीअम	ʌkʋeɾiʌm
विद्यार्जन	ʋid̪jɑːɾd͡ʒʌn
सुरेन्द्र	suɾend̪ɾʌ
मौजेनी	mɔːd͡ʒeniː
आश्रमवासी	ɑːʃɾʌmʋɑːsiː
स्वाइँस्वाइँती	sʋɑːĩsʋɑːĩtiː
विश्रामालय	ʋiʃɾɑːmɑːlʌj
सिध्रा	sid̪ʱɾɑː
सिप्किनु	sipkinu
उध्र	uʈʰɾ
रिङ्	ɾiŋ
तिथि	t̪it̪ʰi
चेन्ज	t͡ʃend͡ʒ
वायुदेवता	ʋɑːjud̪eʋʌt̪ɑː
आदिवासी	ɑːd̪iʋɑːsiː
कुस्ती	kust̪iː
होल्डर	ɦoːlʈʰʌɾ
ढक्क	ʈʰʌkː
रुद्राक्ष	ɾud̪ɾɑːkʃ
मुर्छा	murʈʰʃɑː
कोबी	kobiː
गर्भपाती	ɡʌrbʱpɑːt̪iː
पुरा	purɑː
कट्टर	kʌʈʈʌɾ
