चपेटा	t͡ʃʌpʌʈʌ
चिरचिरे	t͡ʃirət͡ʃire
तकदिर	təkədir
फट्याङ्ग्रा	pʰəʈjɑːŋgrɑː
एकसट्ठीऔं	ekəsəʈʰiːɔ̃
र्‌याँर्याँ	rjɑ̃ːrjɑ̃ː
अर्थात्	ərtʰɑːt
अपेक्षणीय	əpekʃəɳijə
असांसद	əsɑ̃ːsəd
टुक्रा	ʈukrɑː
बागवानी	bɑːɡvɑːniː
डेरी	ɖeːriː
कुलो	kulo
अफाल्	əpʰɑːl
प्रसन्न	prəsənnə
बिजुवा	bid͡zuvɑː
मौका	mɔːkɑː
ब्राम्हण	brɑːmʱəɳ
चाप्	t͡ʃɑːp
अमारो	əmɑːro
माहुर	mɑːɦur
नीम	niːm
ठाउँठाउँ	ʈʰɑ̃ʊ̯ʈʰɑ̃ʊ̯
पराग	pərɑːɡ
पञ्चायत	pəɲt͡ʃɑːjət
झ्याली	d͡ʒʱjɑːliː
चुड्का	t͡ʃuɖkɑː
अजङ	əd͡zəŋ
आराम	ɑːrɑːm
बैङ्कक	bɛ̃ŋkək
छादित	t͡ʃʰɑːdit
कोटे	koʈe
विबाह	vibɑːɦ
अनिन्द्य	ənindjə
मनिब्याग	mənibjɑːɡ
खेर्	kʰer
झुत्रेझाम्रे	d͡ʒʱutrɛd͡ʒʱɑːmre
प्रेम	prem
लठाङ्ग्रि	ləʈʰɑːŋgri
द्विपद	dvipəd
खोदल्	kʰo.d̪əl
उल्टोसुल्टो	uɭʈosulʈo
रामनारायण	rɑːm.nɑː.rɑː.jɑːɳ
हिरन	hi.rən
गबुल्लो	gə.bul.lo
सल	səl
बलि	bə.li
कुमारीपन	kumɑː.riː.pən
कुरकुर	kur.kur
दम्क	dəm.kə
भाक्	bʰɑːk
घरजम	gʰər.jəm
जुनाफ	junɑːf
क्लर्क	klərk
शव	ʃəv
हल्ट	həlʈ
सिलाबर	silɑː.bər
पूँजीपति	puːɳ.d͡ʒiː.pə.t̪i
पूर्णिमा	puːrɳimɑː
आहान	ɑː.hɑːn
सबथोक	səb.ʈʰok
दगुराइ	də.gurɑːi
गौँठली	gɔ̃ʈʰ.liː
जेठान	d͡ʒeː.ʈʰɑːn
धर्सो	d̪ʱər.so
पत्रकारिता	pət̪r.kɑː.ri.t̪ɑː
फ्यार्र	fjɑːr
रुपान्तरण	rupɑːn.t̪ər.ɳ
दावा	dɑː.vɑː
हुत्त	hut̪.t̪ə
मर्म	mər.mə
अप्रतिद्वन्द्व	əprə.t̪i.d̪ʋən.d̪ʋə
मीठो	miː.ʈʰo
घत्रक्क	gʰət̪rək.kə
खुलुल्ल	kʰul.ul.lə
अविजित	əvi.d͡ʒi.t̪
बलात्कार	bəlɑːt̪.kɑːr
उपदेशक	upə.d̪e.ʃək
ट्याम्पो	ʈjɑːm.po
मुख्यालय	mukʰ.jɑː.ləj
हुम्ला	hum.lɑː
उपहास	upə.hɑːs
अङ्गुलिका	əŋ.gul.i.kɑː
हरिभक्त	həri.bʰək.t̪
पक्कै	pək.kɑːi
धनेस	d̪ʱən.es
अवतीर्ण	əvə.t̪iːrɳ
काव्यचेतना	kɑːv.jə.t̪ʃe.t̪ənɑː
अविचलित	əvi.t̪ʃəl.i.t̪
काम्रो	kɑːm.ro
गन्थन	ɡʌn̪t̪ʰʌn
भण्डारी	bʱʌɳɖäːriː
गवेषी	ɡʌʋeːʂiː
ब्यानर	bjäːnʌr
नागर	näːɡʌr
हत्याकाण्ड	ɦʌt̪jäːkäːɳɖ
तिहुन	t̪iɦun
जोसदार	ɟosʌdäːr
जर्कि	ɟʌrki
अभिवन्दनीय	ʌbʱiʋʌn̪d̪ʌniːj
ल्यापल्यापती	ljäːpljäːpʌt̪iː
महिना	mʌɦinäː
बिख	bikʰ
कान्छी	käːn̪tʃʰiː
गन्धिलो	ɡʌn̪d̪ʱilo
डट	ɖʌʈ
अविजित	ʌʋiɟit̪
डिबडिब	ɖibɖib
पाउन्ड	päːunɖ
जप	ɟʌp
खुराफाती	kʰuräːpʰäːt̪iː
चन्द्रमुखी	tʃʌn̪d̪rʌmukʰiː
पुरुष	purʊʂ
गायब	ɡäːjʌb
अकथित	ʌkʌt̪ʰit̪
सिलेट	silet̪
मुसुक्क	musʊkː
पत्तोफाँट	pʌt̪t̪ofä̃ːʈ
थिच्	t̪ʰitʃ
झ्यालखाना	ɖʒʰjäːlʌkʰänäː
भरोसा	bʱʌrosäː
हारगुहार	ɦärɡʊɦär
असन्तोकी	ʌsʌn̪t̪oːkiː
लौत	lɔːt̪
प्यारा	pjäːräː
खिपुवा	kʰipʊʋäː
डाँड्	ɖä̃ːɖ
दम्क	d̪ʌmk
हाडछाला	ɦäːɖʧʰäläː
चुड्का	tʃʊɖkäː
धुकधुक	d̪ʱʊkʌd̪ʱʊk
विचारधारा	ʋitʃäːrʌd̪ʱäräː
त्रिशक्ति	t̪riːʃʌkt̪i
मुसलमान	musʌlʌmän
पुतौरो	put̪ɔːro
कीटाणुनाशक	kiːʈäːɳʊnäːʂʌk
मैलि	mäːli
ढाल्	ɖʱäl
मनिब्याग	mʌnibjäːɡ
भोजराज	bʱoːɟʌräːɟ
चमत्कार	t͡ʃ ʌ m ʌ t̪ k ä r
तिब्बत	t̪ i b b ʌ t̪
हिरन	ɦ i r ʌ n
घृणास्पद	ɡʱ ɾ i n ä s p ʌ d̪
स्याल्ल	s j ä l l
अनूढा	ʌ n u ɖʱ ä
उबडखाबड	u b ɖ ʌ kʰ ä b ɖ
पुरस्कार	p u r ʌ s k ä r
गुन्डा	ɡ u n ɖ ä
क्षोभक	k ʂ o bʱ ʌ k
अलग	ʌ l ʌ ɡ
चूनढुङ्गो	t͡ʃ u n ɖʱ u ŋ ɡ o
सिँगारु	s i ŋ ä r u
चुतिया	t͡ʃ u t̪ i j ä
बाण	b ä ɳ
अविघात	ʌ b i ɡʱ ä t̪
हेरविचार	ɦ e r ʌ b i t͡ʃ ä r
अविपन्न	ʌ b i p ʌ n n
जीन	d͡ʒ i n
शिश्‍न	ʃ i ʃ n
गर्	ɡ ʌ r
कुँवर	k u ŋ ʌ r
कुचेष्टा	k u t͡ʃ e ʂ ʈ ä
सानदार	s ä n ʌ d ä r
आदर	ä d̪ ʌ r
व्यतिरेक	b j ʌ t̪ i r e k
उछिनपाछिन	u t͡ʃ i n ʌ p ä t͡ʃ i n
तार्	t ä r
अङ्खोरा	ʌ ŋ kʰ o r ä
जरुर	d͡ʒ ʌ r u r
लुइँलुइँ	l u i ŋ l u i ŋ
सहायता	s ʌ ɦ ä j ʌ t̪ ä
पूँजीपति	p u ŋ d͡ʒ i p ʌ t̪ i
आविद्ध	ä b i d̪ʱ
बड्‍कौँलो	b ʌ ɖ k ä ŋ l o
इच्छुक	i t͡ʃʰ u k
आदी	ä d̪ i
उत्तेजन	u t̪ t̪ e d͡ʒ ʌ n
लालसा	l ä l s ä
प्रशंसापत्र	p r ʌ ʂ ʌ̃ s ä p ʌ t̪ r
झङ्कारित	d͡ʒʱ ʌ ŋ k ä r i t̪
कठोरपन	k ʌ ʈʰ o r p ʌ n
अपेक्षणीय	ʌ p e k ʂ ʌ ɳ i j
ड्वाङङ्वाङ	ɖ w ä ŋ ŋ w ä ŋ
उत्केन्द्र	u t̪ k e n d̪ r
यता	j ʌ t̪ ä
छोला	t͡ʃʰ o l ä
अगस्त्य	ʌ ɡ ʌ s t̪ j
अनिता	ʌ n i t̪ ä
कह	k ʌ ɦ
हडक्	ɦʌɖʌk
अतुलनीय	ʌt̪ulʌniːj
सिक्री	sikriː
निक्ल	niklʌ
मार्फत	mɑːɾpʰʌt̪
उम्र	umɾʌ
ट्रेडिङ	ʈɾeːɖiŋ
सम्पूर्णता	sʌmpuːɾɳʈʌ
खपटि	kʰʌpʌʈi
बालाजु	bɑːlɑːd͡ʒu
मकमक	mʌkʌmʌk
पशुपक्षी	pʌʂupʌkʂiː
इन्कार	iːnkɑːɾ
असुरक्षा	ʌsuɾʌkʂɑː
हाक्कहुक्क	ɦɑːkkʌɦukkʌ
तोड	ʈoːɖ
असबल्ले	ʌsʌbʌlleː
समाचारदाता	sʌmɑːt͡ʃɑːɾʌdɑːt̪ɑː
होड	ɦoːɖ
लमिलस्ट	lʌmilʌsʈ
झोक्का	d͡ʒʰoːkkɑː
बिन्	bin
बिन्ती	bint̪iː
अकथनिय	ʌkʌt̪ʰʌniːj
ढाक्रे	ɖʱɑːkɾeː
पहिचान्	pʌɦit͡ʃɑːn
लप्रक्क	lʌpɾʌkkʌ
कुहिरे	kʌɦiɾeː
भावक	bʱɑːʋʌk
ऐँचाताना	ɛ̃t͡ʃɑːt̪ɑːnɑː
झिँजोल्	d͡ʒʰĩd͡ʒol
हरफ	ɦʌɾʌpʰ
अपकर्षक	ʌpʌkʌɾʂʌk
सुइरो	suiɾoː
जुरे	d͡ʒuɾeː
जैरे	d͡ʒɛːɾeː
आकाङ्क्षी	ɑːkɑːŋkʂiː
रोप्	ɾoːp
आयुष्मान	ɑːjuʂmɑːn
जातपतित	d͡ʒɑːt̪ʌpʌt̪it̪
लोति	loːt̪i
ट्रस्ट	ʈɾʌsʈ
बोतो	boːʈoː
विद्यार्जन	ʋid̪jɑːɾd͡ʒʌn
तड्प	t̪ʌɖpʰ
हाँक्	ɦɑːŋk
चरित्रप्रधान	t͡ʃʌɾit̪ɾʌpɾʌd̪ʱɑːn
सुनुवार	sunuʋɑːɾ
चौतर्फी	t͡ʃɔːt̪ʌɾpʰiː
कामधेनु	kɑːmʌd̪ʱeːnu

    प्राचीनता	p ɾ aː t͡ʃ iː n ʈ aː
अमौलिक	ʌ m ɔː l i k
छिपाउ	t͡ʃʰ i p aː u
हड्डी	ɦ ʌ ɖː iː
विकार	ʋ i k aː r
पेट्रोलपम्प	p eː ʈ r oː l p ʌ m p
अकर्मण्यता	ʌ k ʌ r m ʌ ɳ j ʌ t aː
छकि	t͡ʃʰ ʌ k i
उच्छल	u t͡ʃʰ ʌ l
सुजाक	s u d͡ʒ aː k
सङ्गीन	s ʌ ŋ ɡ iː n
घुइँकि	ɡʱ u ĩ k i
निम्की	n i m k iː
वृद्ध	ʋ ɾ ɪ d̪ː ʌ
डुँड	ɖ ũ ɖ
उमङ्ग	u m ʌ ŋ ɡ
पानीजहाज	p aː n iː d͡ʒ ʌ ɦ aː d͡ʒ
जर्मनी	d͡ʒ ʌ r m ʌ n iː
कलकलाउँदो	k ʌ l k ʌ l aː ũ d o
फुर्ती	pʰ u r t iː
भुँडल्लो	bʱ ũ ɖ ʌ l l o
मङ्गलाचरण	m ʌ ŋ ɡ ʌ l aː t͡ʃ ʌ r ʌ n
अहल्या	ʌ ɦ ʌ l j aː
नीम	n iː m
पिरीपिरी	p i r iː p i r iː
बाथटब	b aː tʰ ʈ ʌ b
लुटि	l u ʈ i
रेखाचित्र	r eː kʰ aː t͡ʃ i t̪ r
उखान	u kʰ aː n
आघौँ	aː ɡʱ aʊ̃
मिलीजुली	m i l iː d͡ʒ u l iː
निराश	n i r aː ʃ
घुलित	ɡʱ u l i t̪
आरोप्य	aː r oː p j ʌ
द्विपद	d̪ ʋ i p ʌ d̪
वाङ्‍मय	ʋ aː ŋ m ʌ j
फेचो	pʰ eː t͡ʃ o
फलाक्	pʰ ʌ l aː k
दुर्गादास	d̪ u r ɡ aː d̪ aː s
जुस	d͡ʒ u s
अञ्चल	ʌ ɲ t͡ʃ ʌ l
चिमचिम	t͡ʃ i m ʌ t͡ʃ i m
दगुराइ	d̪ ʌ ɡ u r aː i
वायुसेना	ʋ aː j u s eː n aː
लाग्	l aː ɡ
कान्ड	k aː n ɖ
मौका	m aʊ k aː
उत्तान	u t̪ t̪ aː n
बनेल	b ʌ n eː l
उछिनपाछिन	u t͡ʃʰ i n ʌ p aː t͡ʃʰ i n

    लाद्	lɑːd
लाजवती	lɑːd͡ʒʋətiː
आयुक्त	ɑːjʊkt̪
गर्भपाती	ɡərbʱpɑːtiː
टोकाइ	ʈoːkɑːi
आखिरी	ɑːkʰiriː
अमानव	əmɑːnəʋ
ग्वाँगे	ɡʋɑ̃ːɡeː
अभङ्ग	əbʱəŋɡ
ङ्वासङ्वास	ŋʋɑːsəŋʋɑːs
उच्छन्न	ʊt͡ʃʰənn
साढु	sɑːɖʱʊ
जीउपाला	d͡ʒiːʊpɑːlɑː
बत्ताउ	bəttɑːʊ
पावरनाथ	pɑːʋərnɑːtʰ
डिसेम्बर	ɖisembər
उखाड्	ʊkʰɑːɖ
दपेटाइ	dəpet̪ɑːi
थुप्रा	tʰʊprɑː
बुरुण्डी	bʊruːɳɖiː
सुनार	sʊnɑːr
लतलती	lətələtiː
उकुसमुकुस	ʊkʊsəmʊkʊs
प्रालेख	prɑːlekʰ
बग्रेन	bəɡren
निस्कासन	niskɑːsən
भतभती	bʱət̪əbʱətiː
अनिच्छा	ənit͡ʃʰɑː
दधीचि	dədʱiːt͡ʃi
जब	d͡ʒəb
लोग्नेमानिस	loːɡnemɑːnis
ताण्डव	tɑːɳɖəʋ
ढिम्री	ɖʱimriː
हग्	ɦəɡ
लुटपुट	lʊʈpʊʈ
बरफ	bərəf
कखौतो	kəkʰɔːt̪oː
कृतवीर्य	kɾit̪ʋiːrjə
रजिस्ट्रार	rəd͡ʒist̪rɑːr
देवदेवी	d̪eʋd̪eʋiː
भरणपोषण	bʱərəɳpoːʂəɳ
हीरामणि	ɦiːrɑːməɳi
मङ्गोल	məŋɡoːl
रुगरुगी	rʊɡərʊɡiː
जीवत्‌पतिका	d͡ʒiːʋətpət̪ikɑː
कोठा	koːʈʰɑː
साँप्रो	sɑ̃ːproː
कपी	kəpiː
धरौटी	dʱərɔːʈiː
चहार	t͡ʃəɦɑːr

    ओसि	o s i
उखान	u kʰ a n
ख्याति	kʰ j a t i
न्यायाधीश	n j a j a dʱ i ʃ
ढुङ्गो	ɖʱ u ŋ g o
कुटी	k u ʈ i
हारहुर	ɦ a r ɦ u r
डिपोट	ɖ i p o ʈ
दपेटाइ	d a p e ʈ a i
छूताछूत	t͡ʃʰ u t a t͡ʃʰ u t
वायुसेना	v a j u s e n a
सारुप्य	s a r u p j a
रघुवीर	r a ɡʱ u v i r
खर्याङखुरुङ	kʰ a r j a ŋ kʰ u r u ŋ
तमोर	t a m o r
घोचिलो	ɡʱ o t͡ʃ i l o
सङ्ग्राम	s a ŋ g r a m
हेलछेक्‍र्याइँ	ɦ e l t͡ʃʰ e k r j a ĩ
बङ्गला	b a ŋ g l a
पूर्णविराम	p u r ɳ a v i r a m
रचनाकार	r a t͡ʃ a n a k a r
वैल	v a i l
कहीं	k a ɦ ĩ
विचलन	v i t͡ʃ a l a n
एन	e n
खराब	kʰ a r a b
बक्रम	b a k r a m
विकास	v i k a s
बेगल	b e g a l
पक्राउ	p a k r a u
चोरऔंले	t͡ʃ o r a ũ l e
कान्ड	k a n ɖ
रायमाझी	r a j a m a d͡zʱ i
पञ्चायत	p a ɲ t͡ʃ a j a t
ड्वाङ्ग	ɖ v a ŋ g
किट्	k i ʈ
कर्कशता	k a r k a ʃ a t a
सितमणि	s i t a m a ɳ i
वेदाङ्ग	v e d a ŋ g
वाचकी	v a t͡ʃ a k i
प्रजा	p r a d͡z a
तानाशाह	t a n a ʃ a ɦ
हुप	ɦ u p
मुख्यालय	m u kʰ j a l a j
गिरावट	g i r a v a ʈ
आर्य	a r j a
अर्बुद	a r b u d
उम्ट	u m ʈ
आक्षेपक	a kʃ e p a k
सिठो	s i ʈʰ o

    प्राविधिक	p ɾ aː v i d̪ʱ i k
भित्र	bʱ i t̪ ɾ
चम्के	t͡ʃ ʌ m k e
सबार	s ʌ b aː ɾ
अर्घौतो	ʌ ɾ gʱ aʊ t̪ o
बुढिया	b u ɖʱ i j aː
गजेटेड	ɡ ʌ d͡ʒ eʈ eɖ
अतुल	ʌ t̪ u l
कराई	k ʌ ɾ aː i
भरणपोषण	bʱ ʌ ɾ ʌ n p o ʂ ʌ n
अत्यावस्यकरुप	ʌ t̪ j aː v ʌ s j ʌ k ɾ u p
पृष्ठाङ्कन	p ɾ ʂ ʈʰ aː ŋ k ʌ n
सम्भ्रम	s ʌ m bʱ ɾ ʌ m
वेदाङ्ग	v e d aː ŋ ɡ
जेल	d͡ʒ e l
प्रतिपद	p ɾ ʌ t̪ i p ʌ d̪
आज	aː d͡ʒ
काटमार	k aː ʈ m aː ɾ
लताम	l ʌ t̪ aː m
धर्सो	d̪ʱ ʌ ɾ s o
प्रशस्त	p ɾ ʌ ʂ ʌ s ʈ
भुँडल्लो	bʱ ũ ɖ ʌ l l o
बर्खा	b ʌ ɾ kʰ aː
गमनीय	ɡ ʌ m ʌ n i j ʌ
सुनुवाइ	s u n u v aː i
अनुत्पादक	ʌ n u t̪ p aː d̪ ʌ k
दुवाकोट	d̪ u v aː k o ʈ
गोत्र	ɡ o t̪ ɾ
प्याकुरेल	p j aː k u ɾ e l
अद्यपि	ʌ d̪ j ʌ p i
अभिजातवर्ग	ʌ bʱ i d͡ʒ aː t̪ v ʌ ɾ ɡ
बिलौना	b i l aʊ n aː
फट्याङ्ग्रो	pʰ ʌ ʈ j aː ŋ ɡ ɾ o
निखार	n i kʰ aː ɾ
एकसट्ठी	e k s ʌ ʈ ʈʰ iː
एक्काईस	e k k aː iː s
अन्ताक्षरी	ʌ n t̪ aː kʂ ʌ ɾ iː
उत्क्रमण	u t̪ k ɾ ʌ m ʌ n
धाई	d̪ʱ aː i
हिमचुली	ɦ i m ʌ t͡ʃ u l iː
बोतो	b o t̪ o
केर्	k e ɾ
गज्क	ɡ ʌ d͡ʒ k
काठ	k aː ʈʰ
बहस	b ʌ ɦ ʌ s
प्लेग	p l e ɡ
यती	j ʌ t̪ iː
अभिलक्षण	ʌ bʱ i l ʌ kʂ ʌ n
मट्टै	m ʌ ʈ ʈ aː i
जर्याक्क	d͡ʒ ʌ ɾ j aː k k
हाई-हाई	ɦaːi ɦaːi
अवहेलन	ʌʋʌɦeːlʌn
धादिङ	ɖʱaːɖiŋ
रुढी	ruɖʱiː
अलग	ʌlʌɡ
बाजि	baːd͡zi
जङ्गि	d͡zʌŋɡi
उपचारी	ʊpʌt͡ʃaːriː
उत्क्रमण	ʊtkrʌmʌɳ
चेकपोस्ट	t͡ʃeːkʌpoːst
झुप्पि	d͡ʒʌpːi
झिँजोल्	d͡ʒĩd͡zoːl
वाचस्पति	ʋaːt͡ʃʌspʌti
पदस्थापन	pʌdʌstʰaːpʌn
डाइनी	ɖaːiniː
मुख्तियार	mʊkʰtiːjaːr
खनाल	kʰʌnaːl
गमनीय	ɡʌmʌniːjʌ
छौँडा	t͡ʃʌ̃ɖaː
सिट्	siʈ
रल्लि	rʌlli
दङ्गा	dʌŋɡaː
झुर्र	d͡ʒʌrː
झिँगटो	d͡ʒĩɡʌʈoː
आदेशक	aːd̪eːʃʌk
ल्यापल्यापती	ljaːpljaːptiː
नीम	niːm
राजनेता	raːd͡ʒʌneːt̪aː
सानोठिमी	saːnoːʈʰimiː
दुलही	dʊlʌɦiː
फ्रेमसेट	pʰreːmseːʈ
ऋणदाता	ɽɪɳʌd̪aːt̪aː
छुद्र	t͡ʃʌd̪rʌ
उमङ्ग	ʊmʌŋɡ
लेफ्टिनेन्ट	leːpʰʈineːnʈ
प्रसार	prʌsaːr
अपुत	ʌpʊt̪
चर्चित	t͡ʃʌrt͡ʃiːt̪
अन्तर्विरोध	ʌnt̪ʌrʋiːroːd̪ʱ
समाह्‍वान	sʌmaːɦʋaːn
खुड्किलो	kʰʊɖkilo
ठकठकी	ʈʰʌkʈʰʌkiː
कलाबत्तु	kʌlaːbʌʈʈʊ
गार्डेन	ɡaːrɖeːn
आनन्दित	aːnʌnd̪iːt̪
सप्र्याक	sʌprjaːk
श्रीमान्	ʃriːmaːn
रोध	roːd̪ʱ
जगर्सेठ	d͡ʒʌɡʌrseːʈʰ
उल्क	ʊlk
माइक्रोप्रोसेसर	m aɪ k r o p r o s e s a r
कोफी	k o f i
जिस्क	j i s k
गन्धालु	g ʌ n dʱ a l u
भलभल	bʱ a l bʱ a l
प्रथमाक्षर	p r ʌ tʰ m a kʃ a r
एकत्र	e k ʌ t r
सन्न	s ʌ n n
जुत्त्याउ	j u t t j a u
भतभती	bʱ ʌ t bʱ a t i
निशिदिन	n i ʃ i d i n
अङ्कारा	ʌ ŋ k a r a
अठार	ʌ tʰ a r
आर्जे	a r j e
घुँक्क	ɡʱ u ŋ k
गव्य	g ʌ v j
मुख्तियार	m u kʰ t i j a r
बोर्डिङ	b o r d i ŋ
हुक्क	ɦ u k k
गुनगुन	g u n g u n
कार्यशैली	k a r j ʃ a i l i
सुलसुल	s u l s u l
भिउँट	bʱ i u ŋ t
क्लोरोफिल	k l o r o f i l
आशौच	a ʃ a u tʃ
क्रीम	k r i m
डन्ठा	d ʌ n tʰ a
भोटेचिया	bʱ o t e tʃ i j a
कुँड्	k u ŋ d
थिचो	tʰ i tʃ o
अरिनी	ʌ r i n i
कस्केली	k ʌ s k e l i
देवनागरी	d e v ʌ n a g a r i
टेलीभिजन	t e l i bʱ i j ʌ n
तिखार्	t i kʰ a r
छुरबुर	tʃʰ u r b u r
फोहरा	f o ɦ a r a
सुबोल	s u b o l
खोसेल्	kʰ o s e l
अरनी	ʌ r n i
पञ्चैती	p ʌ n tʃ a i t i
तिरतिरी	t i r ʌ t i r i
दगुराइ	d ʌ g u r a i
गुँगो	g u ŋ g o
हाँक्	ɦ a ŋ k
आँखालाग्दो	a ŋ kʰ a l a g d o
डाँडाकाँडा	d a ŋ d a k a ŋ d a
भगवान	bʱ ʌ g ʌ v a n
पटेर	p ʌ t e r
पनौती	p ʌ n a u t i

    सहायता	s ʌ ɦ ä j ʌ t̪ ä
साँप्रो	s ä̃ p r o
जकडबन्द	d͡ʒ ʌ k ʌ d̪ b ʌ n̪ d̪
टुक्रि	ʈ u k r i
बदाम	b ʌ d ä m
कोठा	k o ʈʰ ä
डँड्याउ	ɖ ä̃ ɖ j ä u
लाउ	l ä u
जफत	d͡ʒ ʌ f ʌ t̪
पम्फा	p ʌ m pʰ ä
जुनार	d͡ʒ u n ä r
उपहासक	u p ʌ ɦ ä s ʌ k
रहनसहन	r ʌ ɦ ʌ n̪ s ʌ ɦ ʌ n̪
जाडे	d͡ʒ ä ɖ e
ककनी	k ʌ k ʌ n i
छडछड	t͡sʰ ʌ ɖ t͡sʰ ʌ ɖ
अस्वीकृति	ʌ s b i k ɾ i t̪ i
झुप्पि	d͡zʱ u p p i
अर्बुद	ʌ r b u d̪
फलाक्	pʰ ʌ l ä k
जोकर	d͡ʒ o k ʌ r
राधेश्याम	r ä d̪ʱ e ʃ j ä m
लेखपढ	l e kʰ p ʌ ɖʱ
विनोदकुमार	b i n o d̪ ʌ k u m ä r
पहल	p ʌ ɦ ʌ l
पक्कै	p ʌ k k ä i
उभयनिष्ठ	u bʱ ʌ j ʌ n i ʂʈʰ
धिक्कार	d̪ʱ i k k ä r
अमानुष	ʌ m ä n u ʂ
लिपित्त	l i p i t̪ t̪
सिँङार	s i ŋ ä r
पजेरो	p ʌ d͡ʒ e r o
पालनपोषण	p ä l ʌ n̪ p o ʂ ʌ n̪
प्रयोगविधि	p r ʌ j o ɡ ʌ b i d̪ʱ i
आहाल	ä ɦ ä l
शान्त	ʃ ä n̪ t̪
उत्क्रमण	u t̪ k r ʌ m ʌ n̪
लागिमेली	l ä ɡ i m e l i
छेकुवा	t͡sʰ e k u w ä
बोतो	b o t̪ o
निम्की	n i m k i
अतुल	ʌ t̪ u l
अनुशासित	ʌ n u ʃ ä s i t̪
ग्वाँगे	ɡ w ä̃ ɡ e
सिदा	s i d̪ ä
दुवाकोट	d̪ u w ä k o ʈ
पुँजी	p ũ d͡ʒ i
घनश्याम	ɡʱ ʌ n ʃ j ä m
वाङ्‍मय	b ä ŋ m ʌ j
खैँच	kʰ ä̃ t͡s
घराना	ɡʱ ə r ɑː n ɑː
खपटि	kʰ ə p ʌ ʈ i
थाप्	ʈʰ ɑː p
सत्कार	s ə t̪ k ɑː r
कुर्ची	k ʊ r tʃ iː
यान	j ɑː n
जलमग्न	d͡ʒ ə l m ə ɡ n̪
सुकुटे	s ʊ k ʊ ʈ eː
कत्थक	k ə t̪ʰ t̪ʰ ə k
ताली	t̪ ɑː l iː
अरगज्ज	ə r ə ɡ d͡ʒ ə d͡ʒ
पाठक	p ɑː ʈʰ ə k
सम्पात	s ə m p ɑː t̪
आहाल	ɑː h ɑː l
पोर्तगाल	p oː r t̪ ə ɡ ɑː l
पुतली	p ʊ t̪ ə l iː
प्रसिद्धि	p r ə s i d̪ʱ iː
चन्दने	tʃ ə n d̪ ə n eː
झ्याली	d͡ʒʱ j ɑː l iː
पलट्ट	p ə l ʌ ʈ ʈ
मनाङ	m ə n ɑː ŋ
त्रियाकलाप	t̪ r i j ɑː k ə l ɑː p
आँठो	ɑː ŋ ʈʰ oː
दर्शन	d̪ ə r ʃ ə n
कनिके	k ə n i k eː
बाहु	b ɑː h uː
आदि	ɑː d̪ i
दोकान	d̪ oː k ɑː n
सिक्	s i k
ताउली	t̪ ɑː ʊ l iː
वर्णन	b ə r ɳ ə n
इलेक्ट्रिसियन	i l eː k t̪ r i s i j ə n
कपोलकल्पित	k ə p oː l ə k ə l p i t̪
द्वित्व	d̪ ʋ i t̪ ʋ
फिर्क	pʰ i r k
हल	h ə l
व्रतालु	b r ə t̪ ɑː l uː
ग्रावा	ɡ r ɑː ʋ ɑː
उम्त्याहा	ʊ m t̪ j ɑː h ɑː
टेनिस	ʈ eː n i s
शिल्प	ʃ i l p
धनञ्जय	d̪ʱ ə n ə ɲ d͡ʒ ə j
प्रभा	p r ə bʱ ɑː
क्रमागत	k r ə m ɑː ɡ ə t̪
अमौलिक	ə m ɔː l i k
पन्याइ	p ə n j ɑː i
चाकडी	tʃ ɑː k ə d̪ iː
खोस्	kʰ oː s
ढेडु	ɖʱ eː d̪ ʊ
झिल्का	d͡ʒʱ i l k ɑː

    लतलती	l ʌ t l ʌ t i
छेकुवा	t͡sʰ e k u w ʌ
अपहरणकारी	ʌ p ʌ h ʌ r ʌ n k ʌ r i
प्रधान	p r ʌ dʱ ʌ n
महानिर्वाचन	m ʌ h ʌ n i r w ʌ t͡ʃ ʌ n
घुन्न	ɡʱ u nː
डीएनए	ɖ i e n e
धनुर्धर	dʱ ʌ n u r dʱ ʌ r
चर्	t͡ʃ ʌ r
मयूर	m ʌ j u r
लघुकाव्य	l ʌ ɡʱ u k ʌ w j ʌ
ख्यात	kʰ j ʌ t
यान	j ʌ n
किस्मती	k i s m ʌ t i
डच	ɖ ʌ t͡ʃ
सप्र्याक	s ʌ p r j ʌ k
तन	t ʌ n
चाटुकार	t͡ʃ ʌ t u k ʌ r
छोटे	t͡sʰ o t e
भँगडी	bʱ ʌ ŋ ɖ i
उतर्सि	u t ʌ r s i
झिँगो	d͡zʱ i ŋ o
अनपाम्मे	ʌ n ʌ p ʌ mː e
एकेक	e k e k
आमन्त्रित	ʌ m ʌ n t̪ r i t̪
चड्कन	t͡ʃ ʌ ɖ k ʌ n
तन्दा	t ʌ n d ʌ
ख्याति	kʰ j ʌ t i
ठ्यामठ्याम	ʈʰ j ʌ m ʈʰ j ʌ m
फ्याक्स	pʰ j ʌ k s
भित्र	bʱ i t̪ r
द्वितीया	d̪ w i t̪ i j ʌ
गोब्य्राउ	ɡ o b j r ʌ u
निकासी	n i k ʌ s i
फर्छ्योट	pʰ ʌ r t͡ʃʰ j o ʈ
किरिकिरी	k i r i k i r i
ओझेल	o d͡zʱ e l
घुँडे	ɡʱ u ɳ ɖ e
पार्टी	p ʌ r t i
चङ्गा	t͡ʃ ʌ ŋ ɡ ʌ
अविवेक	ʌ w i w e k
