'day	ˈd a j
kapuwa	ˈk a p u a ʔ
kapuwang	k a p u ˈa ŋ
kapwa	ˈk a p w a ʔ
karabaw	k a ɾ a ˈb a w
karagatan	k a ɾ a ɡ a ˈt a n
karagdagan	k a ɾ a ɡ ˈd a ɡ a n
karahasan	k a ɾ a h a ˈs a n
karahay	k a ɾ a ˈh a j
karakoa	k a ɾ a ˈk o a
karakter	k a ˈɾ a k t e ɾ
karakter	ˈk a ɾ a k t e ɾ
karakter	k a ɾ a k ˈt e ɾ
karamba	k a ˈɾ a m b a
karambola	k a ɾ a m ˈb o l a
karamelo	k a ɾ a ˈm e l o
karamihan	k a ɾ a ˈm i h a n
karampatan	k a ɾ a m ˈp a t a n
karampot	k a ɾ a m ˈp o t
karanasan	k a ɾ a n a ˈs a n
karaniwan	k a ɾ a ˈn i w a n
karantso	k a ˈɾ a n t͡ʃ o
karangalan	k a ɾ a ˈŋ a l a n
karaoke	k a ɾ a ˈʔ o k e
karapatan	k a ɾ a p a ˈt a n
kararampot	k a ɾ a ɾ a m ˈp o t
karate	k a ˈɾ a t e
karatig	k a ˈɾ a t i ɡ
karatula	k a ˈɾ a t u l a
karayom	k a ˈɾ a j o m
karbon	k a ɾ ˈb o n
karbono	k a ɾ ˈb o n o
karbungko	k a ɾ ˈb u ŋ k o
karbungkulo	k a ɾ ˈb u ŋ k u l o
karburador	k a ɾ b u ɾ a ˈd o ɾ
kardbord	ˈk a ɾ d b o ɾ d
kardenal	k a ɾ d e ˈn a l
kardenalato	k a ɾ d e n a ˈl a t o
Karding	k a ɾ ˈd i ŋ
Kardo	ˈk a ɾ d o
karelyebo	k a ɾ e l ˈj e b o
karerahan	k a ɾ e ˈɾ a h a n
karetela	k a ɾ e ˈt e l a
kargamento	k a ɾ ɡ a ˈm e n t o
kari	ˈk a ɾ i
kari	k a ˈɾ i
karibal	k a ɾ i ˈb a l
karihan	k a ˈɾ i h a n
karilyo	k a ˈɾ i l j o
karilyon	k a ɾ i l ˈj o n
karilyon	k a ˈɾ i l j o n
karinderya	k a ɾ i n d e ɾ ˈj a
karinderya	k a ɾ i n ˈd e ɾ j a
karinyosa	k a ɾ i n ˈj o s a
Karingal	k a ˈɾ i ŋ a l
Karingal	k a ɾ i ˈŋ a l
karipas	k a ˈɾ i p a s
karisma	k a ˈɾ i s m a
karitela	k a ɾ i ˈt e l a
kariton	k a ɾ i ˈt o n
karlubang	k a ɾ ˈl u b a ŋ
Karmelita	ˌk a ɾ m e ˈl i t a
karnabal	k a ɾ n a ˈb a l
karnaper	k a ɾ ˈn a p e ɾ
karne	k a ɾ ˈn e
karo	ˈk a ɾ o
karoling	ˈk a ɾ o l i ŋ
karosa	k a ˈɾ o s a
karot	ˈk a ɾ o t
karpet	ˈk a ɾ p e t
karpintero	k a ɾ p i n ˈt e ɾ o
karsel	ˈk a ɾ s e l
karsonsilyo	k a ɾ s o n ˈs i l j o
karta	ˈk a ɾ t a
kartabon	k a ɾ t a ˈb o n
kartamoneda	k a ɾ t a m o ˈn e d a
kartero	k a ɾ ˈt e ɾ o
kartesyanismo	k a ɾ ˌt e s j a ˈn i s m o
kartesyano	ˌk a ɾ t e s ˈj a n o
karton	k a ɾ ˈt o n
Karuhatan	k a ɾ u ˈh a t a n
Karunungan	k a ɾ u ˈn u ŋ a n
karunungan	k a ɾ u ˈn u ŋ a n
karupukan	k a ɾ u p u ˈk a n
karuwagan	k a ɾ u a ˈɡ a n
karwahe	k a r ˈw a h e
kasa	k a ˈs a
kasa	ˈk a s a
kasa	ˈk a s a
kasa	ˈk a s a ʔ
kasa	k a ˈs a ʔ
kasabihan	k a s a b i ˈh a n
kasabwat	k a s a b ˈw a t
kasag	k a ˈs a ɡ
kasaganaan	k a s a ɡ a ˈn a ʔ a n
kasaksi	k a s a k ˈs i
kasal	k a ˈs a l
kasalanan	k a s a ˈl a n a n
kasalaulaan	k a s a l a ʔ u ˈl a ʔ a n
kasali	k a ˈs a l i
kasali	k a ˈs a l e
kasalimuotan	k a s a l i m u ʔ o ˈt a n
kasalimuutan	k a s a l i m u ʔ u ˈt a n
kasalukuyan	k a s a l u ˈk u j a n
kasalungat	k a s a l u ˈŋ a t
kasama	k a ˈs a m a
kasamaan	k a s a m a ˈʔ a n
kasambahay	k a s a m b a ˈh a j
kasambahay	k a s a m ˈb a h a j
kasapuwego	k a s a p u ˈe ɡ o
kasarinlan	k a s a ɾ i n ˈl a n
kasat	k a ˈs a t
kasayapan	k a s a j a ˈp a n
kasaykasay	ˌk a s a j ˈk a s a j
kasaysayan	k a s a j ˈs a j a n
kasera	k a ˈs e ɾ a
kasero	k a ˈs e ɾ o
kaserola	k a s e ˈɾ o l a
kasi	k a ˈs i
kasi	k a ˈs i ʔ
kasi	ˈk a s i
kasiguraduhan	k a s i ɡ u ɾ a ˈd u h a n
Kasilag	k a ˈs i l a ɡ
kasili	k a ˈs i l i
kasilonawan	k a s i l o n a ˈw a n
kasilyas	k a ˈs i l j a s
kasim	ˈk a s i m
kasim	k a ˈs i m
kasiningan	k a s i ˈn i ŋ a n
kasino	k a ˈs i n o
kasintahan	k a s i n ˈt a h a n
kasinungalingan	k a s i n u ŋ a ˈl i ŋ a n
kasingkahulugan	k a s i ŋ k a h u l u ˈɡ a n
kasiya	ˈk a s i a
kasiyahan	k a s i ˈa h a n
kaskaho	k a s ˈk a h o
kaskaron	k a s k a ˈɾ o n
kaskasero	k a s k a ˈs e ɾ o
kasko	k a s ˈk o
kaso	ˈk a s o
kason	k a ˈs o n
kasosyo	k a ˈs o s j o
kasoy	k a ˈs o j
kastanyo	k a s ˈt a n j o
kastigo	k a s ˈt i ɡ o
kastiguhin	k a s t i ˈɡ u h i n
Kastila	k a s ˈt i l a ʔ
kastor	k a s ˈt o ɾ
Kastor	k a s ˈt o ɾ
kastuli	k a s ˈt u l i ʔ
kasubha	k a s u b ˈh a ʔ
kasukasuan	k a s u k a ˈs u ʔ a n
kasukasuan	k a s u k a s u ˈʔ a n
kasula	k a ˈs u l a
kasulatan	k a s u l a ˈt a n
kasulya	k a ˈs u l j a
kasundaluhan	k a s u n d a ˈl u h a n
kasunduan	k a s u n ˈd u ʔ a n
kasunuran	k a s u ˈn u ɾ a n
kasunuran	k a s u n u ˈɾ a n
kasuy	k a ˈs u j
kaswela	k a s ˈw e l a
kasya	ˈk a s j a
kata	k a ˈt a ʔ
kata	ˈk a t a ʔ
kata	k a ˈt a ʔ
kata	k a ˈt a
katabi	k a t a ˈb i
katabi	k a t a ˈb e
kataga	k a t a ˈɡ a ʔ
Katagalugan	k a t a ɡ a ˈl u ɡ a n
katahimikan	k a t a h i ˈm i k a n
katakata	k a t a k a ˈt a ʔ
katakawan	k a t a ˈk a w a n
kataksilan	k a t a k s i ˈl a n
katal	k a ˈt a l
katalaghayan	k a t a l a ɡ h a ˈj a n
katalepsiya	k a t a ˌl e p s i ˈa
katalog	ˈk a t a l o ɡ
katalogo	k a ˈt a l o ɡ o
katalona	k a t a ˈl o n a
katalonan	k a t a ˈl o n a n
katalunan	k a t a ˈl u n a n
katam	k a ˈt a m
katamaran	k a t a m a ˈɾ a n
katan	ˈk a t a n
katana	k a ˈt a n a ʔ
katanungan	k a t a ˈn u ŋ a n
katang	k a ˈt a ŋ
katang	ˈk a t a ŋ
katangahan	k a t a ŋ a ˈh a n
katapat	k a t a ˈp a t
katapatan	k a t a ˈp a t a n
katarata	k a t a ˈɾ a t a
katarungan	k a t a ˈɾ u ŋ a n
katas	k a ˈt a s
katastrope	k a ˈt a s t ɾ o p e
katatagan	k a t a t a ˈɡ a n
Katatluhan	k a t a t l u ˈh a n
katauhan	k a t a ʔ u ˈh a n
katawan	k a t a ˈw a n
katay	ˈk a t a j
katayan	k a t a ˈj a n
katayin	k a ˈt a j i n
katedral	k a ˈt e d ɾ a l
kategorikal	k a t e ɡ o ɾ i ˈk a l
kategorya	k a t e ˈɡ o ɾ j a
katerba	k a ˈt e ɾ b a
katha	k a t ˈh a ʔ
kati	ˈk a t i
kati	ˈk a t i
kati	ˈk a t i
kati	k a ˈt i
kati	k a ˈt i ʔ
kati	k a ˈt i ʔ
katibayan	k a t i ˈb a j a n
katig	ˈk a t i ɡ
katigan	k a ˈt i ɡ a n
Katigbak	k a t i ɡ ˈb a k
katimawaan	k a t i m a ˈw a ʔ a n
Katipunan	k a t i ˈp u n a n
katipunan	k a t i ˈp u n a n
Katipunero	k a t i p u ˈn e ɾ o
katiwala	k a t i ˈw a l a ʔ
katiwalian	k a t i w a l i ˈʔ a n
katleya	k a t ˈl e a
katlo	k a t ˈl o ʔ
katlo	k a t ˈl o
katmon	k a t ˈm o n
kato	k a ˈt o ʔ
katokayo	k a t o ˈk a j o
katol	k a ˈt o l
Katoliko	k a ˈt o l i k o
Katolisismo	k a t o l i ˈs i s m o
katolonan	k a t o ˈl o n a n
katorse	k a ˈt o ɾ s e
katoto	k a ˈt o t o
katotohanan	k a t o t o ˈh a n a n
katrabaho	k a t ɾ a ˈb a h o
katre	ˈk a t ɾ e
katropa	k a ˈt ɾ o p a
katsa	k a ˈt͡ʃ a
katsakahan	k a t͡ʃ a ˈk a h a n
katser	ˈk a t͡ʃ e ɾ
katukayo	k a t u ˈk a j o
katulad	k a ˈt u l a d
katulalaan	k a t u l a l a ˈʔ a n
katulong	k a ˈt u l o ŋ
katulunan	k a t u ˈl u n a n
katunayan	k a t u ˈn a j a n
katunggakan	k a t u ŋ ɡ a ˈk a n
katunggali	k a t u ŋ ɡ a ˈl i ʔ
katungkulan	k a t u ŋ ˈk u l a n
katuray	k a ˈt u ɾ a j
katuruan	k a t u ˈɾ u ʔ a n
katutak	k a ˈt u t a k
katutubo	k a t u ˈt u b o ʔ
katuwaan	k a t u ˈa ʔ a n
katuwang	k a t u ˈa ŋ
kaugnayan	k a ʔ u ɡ ˈn a j a n
kaunlaran	k a ʔ u n l a ˈɾ a n
Kaunlaran	k a ʔ u n l a ˈɾ a n
kaunti	k a ʔ u n ˈt i ʔ
kaunti	ˈk o n t i ʔ
kaunti	ˈk o n t e ʔ
kauntian	k a ʔ u n t i ˈʔ a n
kausap	k a ˈʔ u s a p
kausapin	k a ʔ u ˈs a p i n
kautalan	k a ʔ u t a ˈl a n
kautusan	k a ʔ u t u ˈs a n
kawad	ˈk a w a d
kawal	ˈk a w a l
kawalan	k a w a ˈl a n
kawan	ˈk a w a n
kawani	k a w a ˈn i
kawani	k a ˈw a n i
kawanihan	ˈk a w a n i h a n
kawanggawa	ˈk a w a ŋ ɡ a w a ʔ
kawasa	k a ˈw a s a ʔ
kawasa	k a ˈw a s a
kawatan	k a w a ˈt a n
kawawa	k a ˈw a w a ʔ
kawawaan	k a w a ˈw a ʔ a n
kaway	k a ˈw a j
kawayan	k a ˈw a j a n
kawayanan	k a w a j a ˈn a n
Kawi	ˈk a w i
kawi	k a ˈw i ʔ
kawi	ˈk a w i ʔ
kawil	k a ˈw i l
kawing	k a ˈw i ŋ
kawingan	k a ˈw i ŋ a n
kawit	ˈk a w i t
Kawit	ˈk a w i t
kawsa	ˈk a w s a
kay	k a j
kaya	ˈk a j a
kaya	k a ˈj a ʔ
kaya	ˈk a j a ʔ
kayabangan	k a j a ˈb a ŋ a n
kayabungan	k a j a ˈb u ŋ a n
kayagangan	k a j a ˈɡ a ŋ a n
kayagungan	k a j a ˈɡ u ŋ a n
kayakyakan	k a j a k j a ˈk a n
kayamanan	k a j a ˈm a n a n
kayamuan	k a j a ˈm u ʔ a n
kayat	ˈk a j a t
Kaye	k e j
kayo	k a ˈj o
kayo	ˈk a j o
kaypala	k a j ˈp a l a ʔ
kayrel	k a j ˈɾ e l
kaysa	k a j ˈs a
kaysa	ˈk e s a
Kayser	ˈk a j s e ɾ
kayumanis	k a j u ˈm a n i s
kayumanggi	k a j u m a ŋ ˈɡ i
KBL	k e j ˈb i ʔ e l
KBP	k e j ˈb i ʔ p i
ke	ˈk e
ke	ˈk e ʔ
keber	k e ˈb e ɾ
kebs	ˈk e b s
Keiko	ˈk e j k o
kekok	ˈk e k o k
kelan	ˈk e l a n
kelan	k e j ˈl a n
kelot	ˈk e l o t
keluwa	k e l u ˈa ʔ
kembot	ˈk e m b o t
kemikal	ˌk e m i ˈk a l
kemistri	ˈk e m i s t ɾ i
kendeng	ˈk e n d e ŋ
kendi	ˈk e n d i
kendo	ˈk e n d o
Kenji	ˈk e n d͡ʒ i
kenopodyo	k e n o ˈp o d j o
Kenya	ˈk e n j a
Kenzo	ˈk e n z o
kengkoy	ˈk e ŋ k o j
kepo	ˈk e p o
kepo	ˈk i p o
keri	ˈk e ɾ i
kerida	k e ˈɾ i d a
kerosin	ˌk e ɾ o ˈs i n
Kerry	ˈk e r i
kerubin	k e ɾ u ˈb i n
kesa	ˈk e s a
keso	ˈk e s o
kesyo	ˈk e s j o
ketong	ˈk e t o ŋ
ketongin	k e ˈt o ŋ i n
ketsap	ˈk e t͡ʃ a p
key	k e j
keyk	ˈk e j k
Kho	ˈk o
Khoo	ˈk u
Kiamzon	k i ˈa m s o n
kibal	ˈk i b a l
kibit	k i ˈb i t
kidlat	k i d ˈl a t
kidnap	ˈk i d n a p
kidnaper	k i d ˈn a p e ɾ
kidsulid	k i d ˈs u l i d
kidya	k i d ˈj a
kikay	ˈk i k a j
kiki	ˈk i k i ʔ
kikil	ˈk i k i l
kikilan	k i ˈk i l a n
Kiko	ˈk i k o ʔ
Kiko	ˈk i k o
Kikuko	k i ˈk u k o
kikyam	ˈk i k j a m
kikyam	k i k ˈj a m
kilabot	k i ˈl a b o t
kilabutan	k i l a ˈb u t a n
kilala	k i l a ˈl a
kilala	k i ˈl a l a
kilates	k i ˈl a t e s
kilatis	k i ˈl a t i s
kilay	ˈk i l a j
kilig	k i ˈl i ɡ
kilikili	k i l i ˈk i l i
kilikiti	k i l i k i ˈt i ʔ
kiling	k i ˈl i ŋ
kiling	ˈk i l i ŋ
kiling	k i ˈl i ŋ
kilitis	k i l i ˈt i s
kilo	k i ˈl o ʔ
kilo	ˈk i l o
kilogramo	k i l o ˈɡ ɾ a m o
kilometrahe	k i l o m e t ˈɾ a h e
kilometro	k i l o ˈm e t ɾ o
kilos	ˈk i l o s
kilusan	k i l u ˈs a n
kilusan	k i ˈl u s a n
kilusan	ˌk i l u ˈs a n
kiluwa	k i l u ˈa ʔ
kilyawan	k i l ˈj a w a n
kima	k i ˈm a ʔ
kima	ˈk i m a ʔ
kima	k i ˈm a
kimaw	k i ˈm a w
kimika	ˈk i m i k a
kimiko	ˌk i m i ˈk o
kimkim	k i m ˈk i m
kimona	k i ˈm o n a
kimono	k i ˈm o n o
kina	k i ˈn a
kinabukasan	k i ˌn a b u ˈk a s a n
kinahapunan	k i ˌn a h a ˈp u n a n
kinain	k i ˈn a ʔ i n
kinakapatid	k i ˌn a k a p a ˈt i d
kinakastigo	k i n a k a s ˈt i ɡ o
kinalabasan	k i ˌn a l a b a ˈs a n
kinalaman	k i n a ˈl a m a n
kinang	k i ˈn a ŋ
kinastigo	k i n a s ˈt i ɡ o
kinatawan	k i n a t a ˈw a n
kinauukulan	k i ˌn a ʔ u ʔ u ˈk u l a n
kindat	k i n ˈd a t
kinig	k i ˈn i ɡ
kinina	k i ˈn i n a
kinokonsenti	k i n o k o n s e n ˈt i
kinokontak	k i n o ˈk o n t a k
kinonsenti	k i n o n s e n ˈt i
kinontak	k i ˈn o n t a k
kinse	ˈk i n s e
kintsay	k i n ˈt͡ʃ a j
kinudkod	k i n u d ˈk o d
kinukudkod	k i n u k u d ˈk o d
kinyang	k i n ˈj a ŋ
kinyentos	k i n ˈj e n t o s
King	ˈk i ŋ
kingke	k i ŋ ˈk e
kingpin	ˈk i ŋ p i n
kipot	ˈk i p o t
kirey	k i ˈɾ e j
kisame	ˈk i s a m e
kisay	k i ˈs a j
kisig	ˈk i s i ɡ
kisig	k i ˈs i ɡ
kislap	k i s ˈl a p
kislot	k i s ˈl o t
kiso	ˈk i s o
kita	k i ˈt a
kita	ˈk i t a
kita	ˈk i t a ʔ
kita	ˈk i t a
kita	ˈk i t a ʔ
kitakits	k i t a ˈk i t s
kiti	k i ˈt i ʔ
kitikiti	k i t i k i ˈt i
kitil	k i ˈt i l
kitse	k i ˈt͡ʃ e
kiyampong	k i ˈa m p o ŋ
kiyapo	k i ˈa p o ʔ
kiyeme	k i ˈe m e
kiyo	k i ˈo ʔ
Kiyoko	k i ˈo k o
kiyosko	k i ˈo s k o
klabo	ˈk l a b o
klabos	ˈk l a b o s
klaripikasyon	k l a ɾ i p i k a s ˈj o n
klaro	ˈk l a ɾ o
klaroskuro	k l a ɾ o s ˈk u ɾ o
klase	ˈk l a s e
klasipikasyon	k l a s i p i k a s ˈj o n
klerigo	ˈk l e ɾ i ɡ o
klima	ˈk l i m a
klinik	ˈk l i n i k
klinika	ˌk l i n i ˈk a
kliyente	k l i ˈe n t e
klorin	k l o ˈɾ i n
kloropila	k l o ɾ o ˈp i l a
kloropormo	k l o ɾ o ˈp o ɾ m o
KMU	ˈk e j ʔ e m j u
ko	k o
Ko	ˈk o
Koa	ˈk o a
Koa	ˈk w a
koalisyon	k o a l i s ˈj o n
koboy	ˈk o b o j
kobra	ˈk o b ɾ a
kobrador	k o b ɾ a ˈd o ɾ
kodak	ˈk o d a k
kodeina	k o d e ˈʔ i n a
kodeina	k o ˈd e j n a
kodeyna	k o ˈd e j n a
kodigo	ˈk o d i ɡ o
kodipikasyon	k o d i p i k a s ˈj o n
kognado	k o ɡ ˈn a d o
Koji	ˈk o d͡ʒ i
kokaina	k o k a ˈʔ i n a
kokaina	k o ˈk a j n a
kokak	ˈk o k a k
kokang	ˈk o k a ŋ
kokontakin	k o ˌk o n t a ˈk i n
kokote	k o ˈk o t e
Kokoy	ˈk o k o j
kokwa	ˈk o k w a
kolado	k o ˈl a d o
kolateral	k o l a t e ˈɾ a l
kolehiyal	k o l e h i ˈa l
kolehiyala	k o l e h i ˈa l a
kolehiyo	k o ˈl e h i o
kolektibo	k o l e k ˈt i b o
kolera	ˈk o l e ɾ a
koliplor	ˌk o l i p ˈl o ɾ
kolitis	k o ˈl i t i s
kolmilyo	k o l ˈm i l j o
Kolombiya	k o ˈl o m b i a
kolonya	k o ˈl o n j a
kolonyalismo	k o l o n j a ˈl i s m o
kolumnista	k o l u m ˈn i s t a
komadre	k o ˈm a d ɾ e
komadrona	k o m a ˈd ɾ o n a
komander	k o ˈm a n d e ɾ
kombinasyon	k o m b i n a s ˈj o n
komedya	k o ˈm e d j a
komedyante	k o m e d ˈj a n t e
komemorasyon	k o m e m o ɾ a s ˈj o n
komentarista	k o m e n t a ˈɾ i s t a
komentaryo	k o m e n ˈt a ɾ j o
komento	k o ˈm e n t o
komersiyo	k o ˈm e ɾ s j o
komersyo	k o ˈm e ɾ s j o
kometa	k o ˈm e t a
komisyon	k o m i s ˈj o n
komisyon	k u m i s ˈj o n
komonwelt	ˈk o m o n w e l t
kompadre	k o m ˈp a d ɾ e
kompanya	k o m p a n ˈj a
kompartment	k o m ˈp a ɾ t m e n t
kompas	k o m ˈp a s
kompas	ˈk o m p a s
kompas	k o m ˈp a s
kompensasyon	k o m p e n s a s ˈj o n
kompetisyon	k o m p e t i s ˈj o n
kompiyuter	k o m p i ˈu t e ɾ
kompiyuteran	k o m p i ˈu t e ɾ a n
kompleto	k o m ˈp l e t o
komplikado	k o m p l i ˈk a d o
komplikasyon	k o m p l i k a s ˈj o n
kompone	k o m p o ˈn e
kompone	k u m p u ˈn i
komposisyon	k o m p o s i s ˈj o n
kompositor	k o m p o s i ˈt o ɾ
kompresor	k o m ˈp ɾ e s o ɾ
kompromiso	k o m p ɾ o ˈm i s o
komprontasyon	k o m p ɾ o n t a s ˈj o n
kompuwesto	k o m p u ˈe s t o
kompyuter	k o m ˈp j u t e ɾ
kompyuteran	k o m ˈp j u t e ɾ a n
komunidad	k o m u n i ˈd a d
komunikasyon	k o m u n i k a s ˈj o n
komunismo	k o m u ˈn i s m o
komunista	k o m u ˈn i s t a
komunyon	k o m u n ˈj o n
konde	ˈk o n d e
kondena	k o n d e ˈn a
kondenahin	k o n d e n a ˈh i n
kondensada	k o n d e n ˈs a d a
kondesa	k o n ˈd e s a
kondimento	k o n d i ˈm e n t o
kondisyon	k o n d i s ˈj o n
kondisyoner	k o n ˈd i s j o n e ɾ
kondo	ˈk o n d o
kondolensiya	k o n d o ˈl e n s j a
kondom	ˈk o n d o m
kondominyum	k o n d o ˈm i n j u m
konduktor	k o n d u k ˈt o ɾ
konek	k o ˈn e k
koneksiyon	k o n e k s i ˈo n
konekta	k o n e k ˈt a
konektado	k o n e k ˈt a d o
konotasyon	k o n o t a s ˈj o n
konsehal	k o n s e ˈh a l
konsehala	k o n s e ˈh a l a
konseho	k o n ˈs e h o
konsensiya	k o n ˈs e n s j a
konsensya	k o n ˈs e n s j a
konsenti	k o n s e n ˈt i
konsenti	k u n s i n ˈt i
konsentidor	k o n s e n t i ˈd o ɾ
konsentidor	k u n s i n t i ˈd o ɾ
konsentidora	k o n s e n t i ˈd o ɾ a
konsentidora	k u n s i n t i ˈd o ɾ a
konsentihin	k o n s e n t i ˈh i n
konsentrasyon	k o n s e n t ɾ a s ˈj o n
konserbatibo	k o n s e ɾ b a ˈt i b o
konserbatismo	k o n s e ɾ b a ˈt i s m o
konserbatoryo	k o n s e ɾ b a ˈt o ɾ j o
konsiderasyon	k o n s i d e ɾ a s ˈj o n
konsiyensiya	k o n s i ˈe n s j a
konsiyumer	k o n s i ˈu m e ɾ
konsorte	k o n ˈs o ɾ t e
konstable	k o n s ˈt a b l e
konstabularyo	k o n s t a b u ˈl a ɾ j o
konstelasyon	k o n s t e l a s ˈj o n
konstitusyon	k o n s t i t u s ˈj o n
konstruktibismo	k o n s t ɾ u k t i ˈb i s m o
konsul	ˈk o n s u l
konsul	k o n ˈs u l
konsulado	k o n s u ˈl a d o
konsultant	k o n ˈs u l t a n t
konsumer	k o n ˈs u m e ɾ
konsumido	k o n s u ˈm i d o
konsumisyon	k o n s u m i s ˈj o n
konsumo	k o n ˈs u m o
konsuwelo	k o n s u ˈe l o
konsyumer	k o n s ˈj u m e ɾ
kontador	k o n t a ˈd o ɾ
kontak	ˈk o n t a k
kontakin	ˌk o n t a ˈk i n
kontento	k o n ˈt e n t o
kontestant	k o n ˈt e s t a n t
kontinente	k o n t i ˈn e n t e
kontorsiyonista	k o n t o ɾ s i o ˈn i s t a
kontra	ˈk o n t ɾ a
kontrabando	k o n t ɾ a ˈb a n d o
kontrabida	k o n t ɾ a ˈb i d a
kontralason	k o n t ɾ a ˈl a s o n
kontrasenyas	k o n t ɾ a ˈs e n j a s
kontrata	k o n ˈt ɾ a t a
kontratista	k o n t ɾ a ˈt i s t a
kontribusyon	k o n t ɾ i b u s ˈj o n
kontrobersiya	k o n t ɾ o ˈb e ɾ s j a
kontrobersiya	k o n t ɾ o b e ɾ ˈs i a
kontsaba	k o n ˈt͡ʃ a b a
kontsabahan	k o n t͡ʃ a b a ˈh a n
konyak	k o n ˈj a k
konyo	ˈk o n j o
Konyo	ˈk o n j o
Kong	ˈk o ŋ
Konggo	ˈk o ŋ ɡ o
kongkreto	k o ŋ ˈk ɾ e t o
kongregasyon	k o n ɡ ɾ e ɡ a s ˈj o n
kongresista	k o n ɡ ɾ e ˈs i s t a
kongreso	k o n ˈɡ ɾ e s o
Kongreso	k o n ˈɡ ɾ e s o
kooperasyon	k o ʔ o p e ɾ a s ˈj o n
kooperatiba	k o ʔ o p e ɾ a ˈt i b a
koordinasyon	k o ʔ o ɾ d i n a s ˈj o n
kopas	ˈk o p a s
Kopina	k o ˈp i n a
Kopino	k o ˈp i n o
kopo	ˈk o p o
kopon	ˈk o p o n
kopon	k o ˈp o n
kopon	k o ˈp o n
koponan	k o p o ˈn a n
kopong	ˈk o p o ŋ
kopra	ˈk o p ɾ a
kopya	ˈk o p j a
koral	k o ˈɾ a l
korap	k o ˈɾ a p
korapsiyon	k o ɾ a p s i ˈo n
kordero	k o ɾ ˈd e ɾ o
Korea	k o ˈɾ e a
Korea	k o ˈɾ i a
korea	k o ˈɾ e a
Korean	k o ˈɾ i a n
Koreana	k o ɾ e ˈa n a
Koreana	k o ɾ ˈj a n a
Koreano	k o ɾ e ˈa n o
Koreano	k o ɾ ˈj a n o
koredor	k o ɾ e ˈd o ɾ
koreksiyonal	k o ɾ e k s j o ˈn a l
koreksiyonal	k o ˈɾ e k s j o n a l
koreksyonal	k o ˈɾ e k s j o n a l
koreo	k o ɾ e ˈo
koreo	k o ˈɾ e o
koreograpiya	k o ɾ e o ɡ ɾ a ˈp i a
korido	k o ˈɾ i d o
Korinto	k o ˈɾ i n t o
korni	ˈk o ɾ n i
kornik	ˈk o ɾ n i k
korola	k o ˈɾ o l a
korona	k o ˈɾ o n a
Koronadal	k o ɾ o n a ˈd a l
koronahan	k o ɾ o ˈn a h a n
koronel	k o ɾ o ˈn e l
korporal	k o ɾ p o ˈɾ a l
korporasyon	k o ɾ p o ɾ a s ˈj o n
korse	k o ɾ ˈs e
korte	ˈk o ɾ t e
kortesiya	k o ɾ t e ˈs i a
kortina	k o ɾ ˈt i n a
kortosirkuwito	k o ɾ t o s i ɾ k u ˈi t o
korupsiyon	k o ɾ u p s i ˈo n
koryente	k o ɾ ˈj e n t e
kosta	ˈk o s t a
kostado	k o s ˈt a d o
kostal	k o s ˈt a l
kostumer	ˈk o s t u m e ɾ
kota	ˈk o t a
kotamaya	k o t a ˈm a j a
koteho	k o ˈt e h o
kotilyon	k o t i l ˈj o n
kotong	ˈk o t o ŋ
kotse	ˈk o t͡ʃ e
kotse	ˈk o t s e
koyo	ˈk o j o ʔ
koyo	k o ˈj o
koyote	k o ˈj o t e
krayola	k ɾ a ˈj o l a
kredensiyal	k ɾ e d e n s i ˈa l
kredibilidad	k ɾ e d i b i l i ˈd a d
krema	ˈk ɾ e m a
kremasyon	k ɾ e m a s ˈj o n
krematoryo	k ɾ e m a ˈt o ɾ j o
kriket	ˈk ɾ i k e t
krimen	ˈk ɾ i m e n
krimen	k ɾ i ˈm e n
kriminal	k ɾ i m i ˈn a l
kriminalidad	k ɾ i m i n a l i ˈd a d
kriminolohiya	k ɾ i m i n o l o ˈh i a
kriminolohiya	k ɾ i m i n o ˈl o h i a
krisantemo	k ɾ i s a n ˈt e m o
krisma	ˈk ɾ i s m a
kristal	k ɾ i s ˈt a l
Kristiyanismo	k ɾ i s t j a ˈn i s m o
Kristiyano	k ɾ i s t i ˈa n o
Kristo	ˈk ɾ i s t o
kristo	ˈk ɾ i s t o
kritikal	k ɾ i t i ˈk a l
kritiko	ˈk ɾ i t i k o
kritisismo	k ɾ i t i ˈs i s m o
Kroasya	k ɾ o ˈa s j a
kromatina	k ɾ o m a ˈt i n a
kromosoma	k ɾ o m o ˈs o m a
kroni	ˈk ɾ o n i
kroniyismo	k ɾ o n i ˈj i s m o
kronolohiya	k ɾ o n o l o ˈh i a
kropek	ˈk ɾ o p e k
krus	ˈk ɾ u s
krusipiho	k ɾ u s i ˈp i h o
KSP	ˈk e j ʔ e s p i
Kua	ˈk w a
Kua	ˈk u a
kuba	ˈk u b a ʔ
Kuba	ˈk u b a
kubakob	k u ˈb a k o b
kubakob	k u b a ˈk o b
kubaw	k u ˈb a w
kubeta	k u ˈb e t a
kubil	k u ˈb i l
kubkob	k u b ˈk o b
kubli	k u b ˈl i
kubnugin	k u b ˈn u ɡ i n
kubo	ˈk u b o
kubra	k u b ˈɾ a
kubrador	k u b ɾ a ˈd o ɾ
kubrekama	k u b ɾ e ˈk a m a
kubtangkas	k u b t a ŋ ˈk a s
kubyertos	k u b ˈj e ɾ t o s
kuda	k u ˈd a ʔ
kudeta	ˈk u d e t a
kudkod	k u d ˈk o d
